Location,Population
"California, CA","39,431,263"
"TX, TX","31,290,831"
"FL, FL","23,372,215"
"NY, NY","19,867,248"
"PA, PA","13,078,751"
"IL, IL","12,710,158"
"OH, OH","11,883,304"
"GA, GA","11,180,878"
"NC, NC","11,046,024"
"Los Angeles County, CA","9,757,179"
"NJ, NJ","9,500,851"
"VA, VA","8,811,195"
"NY city, NY","8,478,072"
"WA, WA","7,958,180"
"AZ, AZ","7,582,384"
"TN, TN","7,227,750"
"MA, MA","7,136,171"
"IN, IN","6,924,275"
"MD, MD","6,263,220"
"MO, MO","6,245,466"
"WI, WI","5,960,975"
"CO, CO","5,957,493"
"MN, MN","5,793,151"
"SC, SC","5,478,831"
"Cook County, IL","5,182,617"
"AL, AL","5,157,699"
"Harris County, TX","5,009,302"
"Maricopa County, AZ","4,673,096"
"LA, LA","4,597,740"
"KY, KY","4,588,372"
"OR, OR","4,272,371"
"OK, OK","4,095,393"
"Los Angeles city, CA","3,878,704"
"CT, CT","3,675,069"
"UT, UT","3,503,613"
"NV, NV","3,267,467"
"IA, IA","3,241,488"
"Orange County, CA","3,170,435"
"AR, AR","3,088,354"
"KS, KS","2,970,606"
"MS, MS","2,943,045"
"Miami-Dade County, FL","2,838,461"
"Chicago city, IL","2,721,308"
"Kings County, NY","2,617,631"
"Clark County, NV","2,398,871"
"Houston city, TX","2,390,125"
"Queens County, NY","2,316,841"
"NM, NM","2,130,256"
"Broward County, FL","2,037,472"
"NE, NE","2,005,465"
"ID, ID","2,001,619"
"WV, WV","1,769,979"
"Phoenix city, AZ","1,673,164"
"New York City, NY","1,660,664"
"New York County, NY","1,660,664"
"Alameda County, CA","1,649,060"
"Hillsborough County, FL","1,581,426"
"Philadelphia city, PA","1,573,916"
"Philadelphia County, PA","1,573,916"
"Suffolk County, NY","1,535,909"
"San Antonio city, TX","1,526,656"
"HI, HI","1,446,146"
"NH, NH","1,409,032"
"ME, ME","1,405,012"
"San Diego city, CA","1,404,452"
"Bronx County, NY","1,384,724"
"Franklin County, OH","1,356,303"
"Dallas city, TX","1,326,087"
"Salt Lake County, UT","1,216,274"
"Fairfax County, VA","1,160,925"
"MT, MT","1,137,233"
"RI, RI","1,112,308"
"Honolulu County, HI","998,747"
"San Jose city, CA","997,368"
"Austin city, TX","993,588"
"St. Louis County, MO","992,929"
"Capitol Planning Region, CT","991,508"
"Marion County, IN","981,628"
"Bergen County, NJ","978,641"
"Prince George's County, MD","966,629"
"Pinellas County, FL","965,870"
"Orange County, FL","965,333"
"Fort Bend County, TX","958,434"
"Erie County, NY","950,602"
"Charlotte city, NC","943,476"
"Pierce County, WA","941,170"
"Columbus city, OH","933,263"
"Milwaukee County, WI","924,740"
"SD, SD","924,669"
"Kern County, CA","922,529"
"Hidalgo County, TX","914,820"
"Shelby County, TN","910,530"
"Montgomery County, MD","904,258"
"Indianapolis city, IN","900,896"
"Middlesex County, NJ","890,119"
"Macomb County, MI","886,175"
"Essex County, NJ","881,527"
"Worcester County, MA","881,248"
"Montgomery County, PA","879,190"
"El Paso County, TX","875,784"
"Snohomish County, WA","864,113"
"Lee County, FL","860,959"
"Nassau County, NY","854,860"
"Polk County, FL","852,878"
"Baltimore County, MD","852,425"
"Hamilton County, OH","837,359"
"San Francisco city, CA","827,526"
"San Francisco County, CA","827,526"
"Essex County, MA","823,938"
"OK County, OK","816,490"
"San Joaquin County, CA","816,108"
"ND, ND","796,568"
"Multnomah County, OR","795,897"
"Jefferson County, KY","793,881"
"Louisville/Jefferson County metro government, KY","793,881"
"Suffolk County, MA","793,144"
"Hempstead town, NY","792,341"
"Cobb County, GA","787,538"
"Middlesex County, MA","784,890"
"Seattle city, WA","780,995"
"DeKalb County, GA","770,307"
"El Paso County, CO","752,772"
"Monroe County, NY","752,202"
"Montgomery County, TX","749,613"
"Gwinnett County, GA","747,008"
"San Mateo County, CA","742,893"
"Norfolk County, MA","740,754"
"AK, AK","740,133"
"Davidson County, TN","729,505"
"Nashville-Davidson metropolitan government, TN","729,505"
"Denver city, CO","729,019"
"Denver County, CO","729,019"
"Williamson County, TX","727,480"
"Jackson County, MO","727,362"
"OK City city, OK","712,919"
"Will County, IL","708,583"
"Nashville-Davidson metropolitan government (balance), TN","704,963"
"District of Columbia District of Colum, ia","702,250"
"WA city District of Colum, ia","702,250"
"Tulsa County, OK","693,514"
"Palm Beach County, FL","689,342"
"El Paso city, TX","681,723"
"Las Vegas city, NV","678,922"
"Providence County, RI","675,912"
"Boston city, MA","673,458"
"Kent County, MI","673,002"
"Bernalillo County, NM","671,747"
"Arapahoe County, CO","666,918"
"Ocean County, NJ","666,434"
"Jefferson County, AL","664,744"
"Pasco County, FL","659,114"
"Brevard County, FL","658,447"
"Bucks County, PA","650,131"
"VT, VT","648,493"
"Monmouth County, NJ","647,520"
"Detroit city, MI","645,705"
"Louisville/Jefferson County metro government (balance), KY","640,796"
"Western CT Planning Region, CT","637,013"
"Portland city, OR","635,749"
"Johnson County, KS","632,276"
"WA County Ore, on","611,272"
"Memphis city, TN","610,919"
"Sacramento County, CA","606,153"
"Volusia County, FL","602,772"
"Anne Arundel County, MD","602,350"
"Union County, NJ","594,160"
"Bristol County, MA","588,593"
"New Castle County, DE","588,093"
"WY, WY","587,618"
"Delaware County, PA","584,882"
"Jefferson County, CO","578,533"
"South Central CT Planning Region, CT","576,718"
"Greenville County, SC","570,745"
"Baltimore city, MD","568,271"
"Milwaukee city, WI","563,531"
"Lancaster County, PA","563,293"
"Chester County, PA","560,745"
"Albuquerque city, NM","560,326"
"Stanislaus County, CA","556,972"
"Spokane County, WA","555,947"
"Tucson city, AZ","554,013"
"Fresno city, CA","550,105"
"Plymouth County, MA","542,090"
"Ramsey County, MN","542,015"
"Montgomery County, OH","537,443"
"Sedgwick County, KS","536,081"
"Sacramento city, CA","535,798"
"Camden County, NJ","533,988"
"Clark County, WA","527,269"
"Morris County, NJ","523,053"
"Atlanta city, GA","520,070"
"Mesa city, AZ","517,151"
"Polk County, IA","516,185"
"Kansas City city, MO","516,032"
"KS City city, MO","516,032"
"Pinal County, AZ","513,862"
"Washoe County, NV","507,280"
"Knox County, TN","506,748"
"San Diego County, CA","506,066"
"Lake County, IN","502,955"
"Raleigh city, NC","499,825"
"Richmond County, NY","498,212"
"Prince William County, VA","497,003"
"Seminole County, FL","494,605"
"CO Springs city, CO","493,554"
"Brookhaven town, NY","492,759"
"Omaha city, NE","489,265"
"Miami city, FL","487,014"
"Sonoma County, CA","485,375"
"Tulare County, CA","483,546"
"Oakland County, MI","482,038"
"Sarasota County, FL","476,604"
"Burlington County, NJ","475,515"
"Allegheny County, PA","475,192"
"York County, PA","471,240"
"Onondaga County, NY","469,812"
"Osceola County, FL","468,058"
"Hampden County, MA","464,151"
"Naugatuck Valley Planning Region, CT","462,220"
"Manatee County, FL","458,352"
"Solano County, CA","455,101"
"VA Beach city, VA","454,808"
"Dakota County, MN","453,156"
"East Baton Rouge Parish, LA","453,022"
"Long Beach city, CA","450,901"
"Santa Barbara County, CA","444,500"
"Lake County, FL","444,204"
"Oakland city, CA","443,554"
"Loudoun County, VA","443,380"
"Berks County, PA","439,117"
"Monterey County, CA","436,251"
"Placer County, CA","433,822"
"Bexar County, TX","431,378"
"Richland County, SC","430,651"
"Hillsborough County, NH","430,462"
"Marion County, FL","428,905"
"Minneapolis city, MN","428,579"
"Jefferson Parish, LA","427,253"
"Clackamas County, OR","425,857"
"Madison County, AL","423,355"
"Riverside County, CA","423,178"
"Bakersfield city, CA","417,468"
"Collier County, FL","416,233"
"Tulsa city, OK","415,154"
"Tampa city, FL","414,547"
"Horry County, SC","413,391"
"Brazoria County, TX","413,224"
"Mobile County, AL","412,339"
"Orange County, NY","411,767"
"Arlington city, TX","403,672"
"Aurora city, CO","403,130"
"Genesee County, MI","402,279"
"Wichita city, KS","400,991"
"Butler County, OH","399,542"
"Douglas County, CO","393,995"
"Mercer County, NJ","392,138"
"Chesterfield County, VA","389,793"
"Hamilton County, TN","386,256"
